profile_id,scenario,t,debt,max_debt,final_debt,debito_richiesto,perc_debito_finale,fragility_index,convergence
0,lieve,0,1051.51,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,1,298.5412996977559,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,2,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,3,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,4,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,5,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,6,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,7,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,8,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,9,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,10,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,lieve,11,0.0,1051.51,0.0,1051.51,0.0,0.5383317761195942,True
0,medio,0,1051.51,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,1,377.21646089276305,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,2,1183.4639228976919,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,3,1140.0821533207459,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,4,690.5333081389008,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,5,682.3744369788726,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,6,406.67259157096373,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,7,0.0,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,8,0.0,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,9,0.0,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,10,0.0,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,medio,11,0.0,1183.4639228976919,0.0,1051.51,0.0,0.6058869964022947,True
0,grave,0,1051.51,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,1,662.9584224012146,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,2,459.68738521833666,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,3,902.1868650971974,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,4,924.856935968279,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,5,1246.5272207457674,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,6,1771.028335180037,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,7,2029.5890498298538,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,8,1347.9324174565418,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,9,786.9906977985947,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,10,481.8302409007945,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
0,grave,11,133.63285859746622,2029.5890498298538,133.63285859746622,1051.51,0.1271,1.0390697929527866,True
1,lieve,0,849.6,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,1,793.6645175361116,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,2,572.5053208546343,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,3,1251.9020339817157,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,4,2445.398871629627,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,5,2335.017707291068,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,6,2357.453190134376,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,7,2564.064170730918,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,8,3605.3760429009653,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,9,5090.661600723833,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,10,5177.631921149323,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,lieve,11,5254.125646938679,5254.125646938679,5254.125646938679,849.6,6.1842,26.220372520695395,False
1,medio,0,849.6,6727.316076712725,6727.316076712725,849.6,7.9182,33.57223360249218,False
1,medio,1,1089.231417724085,6727.316076712725,6727.316076712725,849.6,7.9182,33.57223360249218,False
